label,n_days,total_pnl,ann_return,ann_vol,sharpe,max_dd,n_trades,hit_rate,avg_win,avg_loss,win_loss_ratio,avg_hold_days,max_win_streak,max_loss_streak,lookback,entry_z,exit_z,max_hold,spread,spread_label,metal
si_si_cal_23_lb20_ez1.0_xz0.5_mh20,2129,-0.99,-0.12,0.174,-0.669,-1.34,157,0.293,0.02,-0.015,1.31,10.4,6,16,20,1.0,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.0_xz0.5_mh40,2129,-0.86,-0.1,0.174,-0.588,-1.21,154,0.299,0.02,-0.017,1.17,11.4,6,16,20,1.0,0.5,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.0_mh5,2129,-1.75,-0.21,0.142,-1.454,-2.0,148,0.182,0.016,-0.013,1.22,5.9,2,26,20,1.5,0.0,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.0_mh10,2129,-1.17,-0.14,0.144,-0.961,-1.42,124,0.282,0.014,-0.016,0.87,10.4,6,15,20,1.5,0.0,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.0_mh20,2129,-0.87,-0.1,0.147,-0.699,-1.13,105,0.362,0.013,-0.019,0.68,15.7,8,15,20,1.5,0.0,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.0_mh40,2129,-0.75,-0.09,0.146,-0.604,-1.0,98,0.367,0.013,-0.022,0.62,18.4,7,14,20,1.5,0.0,40,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.5_mh5,2129,-1.81,-0.21,0.14,-1.534,-2.07,154,0.208,0.013,-0.013,0.95,5.5,5,31,20,1.5,0.5,5,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.5_mh10,2129,-1.28,-0.15,0.14,-1.08,-1.54,131,0.275,0.012,-0.015,0.79,9.2,5,15,20,1.5,0.5,10,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.5_mh20,2129,-1.07,-0.13,0.14,-0.906,-1.33,116,0.31,0.012,-0.017,0.73,12.6,5,15,20,1.5,0.5,20,si_cal_23,SI2-SI3 calendar,silver
si_si_cal_23_lb20_ez1.5_xz0.5_mh40,2129,-0.99,-0.12,0.14,-0.839,-1.25,114,0.316,0.012,-0.019,0.64,13.6,5,15,20,1.5,0.5,40,si_cal_23,SI2-SI3 calendar,silver
