,gross_leverage
2020-07-26,3.9999999999999996
2020-07-27,3.9999999999999996
2020-07-28,3.9999999999999996
2020-07-29,3.9999999999999996
2020-07-30,3.9999999999999996
2020-07-31,3.9999999999999996
2020-08-01,3.9999999999999996
2020-08-02,3.9999999999999996
2020-08-03,3.9999999999999996
2020-08-04,3.9999999999999996
2020-08-05,3.9999999999999996
2020-08-06,3.9999999999999996
2020-08-07,3.9999999999999996
2020-08-08,3.9999999999999996
2020-08-09,3.9999999999999996
2020-08-10,3.9999999999999996
2020-08-11,3.9999999999999996
2020-08-12,3.9999999999999996
2020-08-13,3.9999999999999996
2020-08-14,3.9999999999999996
2020-08-15,3.9999999999999996
2020-08-16,3.9999999999999996
2020-08-17,3.9999999999999996
2020-08-18,3.9999999999999996
2020-08-19,3.9999999999999996
2020-08-20,3.9999999999999996
2020-08-21,3.9999999999999996
2020-08-22,3.9999999999999996
2020-08-23,3.9999999999999996
2020-08-24,3.9999999999999996
2020-08-25,3.9999999999999996
2020-08-26,3.9999999999999996
2020-08-27,3.9999999999999996
2020-08-28,3.9999999999999996
2020-08-29,3.9999999999999996
2020-08-30,3.9999999999999996
2020-08-31,3.9999999999999996
2020-09-01,3.9999999999999996
2020-09-02,3.9999999999999996
2020-09-03,3.958945918906524
2020-09-04,3.345784470405353
2020-09-05,3.475735028828741
2020-09-06,3.571486611885468
2020-09-07,3.670798464700804
2020-09-08,3.7603277547239204
2020-09-09,3.873268574203444
2020-09-10,3.23223298241945
2020-09-11,3.342776763368766
2020-09-12,3.3736598475269255
2020-09-13,3.484275179505987
2020-09-14,3.591423225195269
2020-09-15,2.6299492847740087
2020-09-16,2.7602990546883333
2020-09-17,2.8356093813310665
2020-09-18,2.9079849341990425
2020-09-19,2.582824429679638
2020-09-20,2.7037095721554025
2020-09-21,2.8312950312327096
2020-09-22,1.4440938581216087
2020-09-23,1.5097095179694542
2020-09-24,1.0972913974764875
2020-09-25,1.1433962435528058
2020-09-26,1.1839739385629011
2020-09-27,1.2334948364630238
2020-09-28,1.285488468891496
2020-09-29,1.337913096264538
2020-09-30,1.2987213307477778
2020-10-01,1.3227527732942805
2020-10-02,1.3802978332154594
2020-10-03,1.436785742736443
2020-10-04,1.5000293579232398
2020-10-05,1.5664400208159588
2020-10-06,1.6005339740161337
2020-10-07,1.6659727306655638
2020-10-08,1.6557704621262652
2020-10-09,1.729791508193925
2020-10-10,1.700554699578885
2020-10-11,1.7762478834087962
2020-10-12,1.8557728391575221
2020-10-13,1.9282102699611554
2020-10-14,1.9413758195395974
2020-10-15,2.0281431256048874
2020-10-16,2.1105701537296047
2020-10-17,2.1781622718174583
2020-10-18,2.2785515118335753
2020-10-19,2.3841415266661445
2020-10-20,2.488745274474989
2020-10-21,2.566618344062184
2020-10-22,2.408168400087072
2020-10-23,2.3548177235923453
2020-10-24,2.4643128869816895
2020-10-25,2.5785092132087573
2020-10-26,2.698702056111208
2020-10-27,2.819760392292788
2020-10-28,2.9535313908909244
2020-10-29,2.7738443823525682
2020-10-30,2.8971048308143086
2020-10-31,2.985887512672439
2020-11-01,3.1288098290205575
2020-11-02,3.279367994949366
2020-11-03,3.353894763045934
2020-11-04,3.350647843443635
2020-11-05,3.232456202045067
2020-11-06,2.440278327592063
2020-11-07,2.5465287957563545
2020-11-08,2.656465358361652
2020-11-09,2.7724529810975764
2020-11-10,2.0322935358058856
2020-11-11,2.117749550496219
2020-11-12,2.177418563958765
2020-11-13,2.249204583257742
2020-11-14,2.2539975640274896
2020-11-15,2.3565875838719057
2020-11-16,2.4645884768745425
2020-11-17,2.569852308133627
2020-11-18,2.6744663518094955
2020-11-19,2.7051762936257835
2020-11-20,2.81445025770399
2020-11-21,2.880828209343181
2020-11-22,3.018325700104626
2020-11-23,3.1632000315350384
2020-11-24,3.2997074858716604
2020-11-25,3.2706320511279867
2020-11-26,3.415040989285425
2020-11-27,3.574834529319008
2020-11-28,3.6266234625333387
2020-11-29,3.688920182868157
2020-11-30,3.7532190304880326
2020-12-01,3.6803719192088438
2020-12-02,3.1303690199975174
2020-12-03,3.283718337103083
2020-12-04,3.4346180026251183
2020-12-05,3.1104869348087347
2020-12-06,3.263187181063488
2020-12-07,3.4242039930601527
2020-12-08,3.250464330385434
2020-12-09,3.328253332325554
2020-12-10,3.4859548505577282
2020-12-11,3.4015725421818335
2020-12-12,3.3391187369697604
2020-12-13,3.497585707260645
2020-12-14,3.664853209645992
2020-12-15,3.7421786683853666
2020-12-16,3.466404266292139
2020-12-17,3.5207140241129946
2020-12-18,2.594125752507964
2020-12-19,2.6997259957563635
2020-12-20,2.8074680708810327
2020-12-21,2.9217608887203093
2020-12-22,2.93192910533462
2020-12-23,2.931930554941322
2020-12-24,3.033456483993461
2020-12-25,3.171955492869099
2020-12-26,3.3144369263683324
2020-12-27,3.4495819195206217
2020-12-28,3.593029516306982
2020-12-29,3.352299388732089
2020-12-30,3.303359279561182
2020-12-31,2.7842426647870826
2021-01-01,2.91226653010671
2021-01-02,3.0272080734855775
2021-01-03,3.146498299144911
2021-01-04,3.2746162304602247
2021-01-05,3.2959912703960232
2021-01-06,1.7699633471412561
2021-01-07,1.7035597440545194
2021-01-08,1.781763044515584
2021-01-09,1.454372273605087
2021-01-10,1.5164517481393303
2021-01-11,1.5817817524150544
2021-01-12,1.5331169381956553
2021-01-13,1.285910089426908
2021-01-14,1.339779641405778
2021-01-15,1.378298995618088
2021-01-16,1.3218988951332507
2021-01-17,1.3765257849021015
2021-01-18,1.4338955654800778
2021-01-19,1.4896080443080457
2021-01-20,1.5484805756207207
2021-01-21,1.6063050509651673
2021-01-22,1.6765132677758054
2021-01-23,1.3802508734922718
2021-01-24,1.439616005588993
2021-01-25,1.50188427187531
2021-01-26,1.4956682414531899
2021-01-27,1.5003342666116626
2021-01-28,1.4810976920004555
2021-01-29,1.5345487973601029
2021-01-30,1.5874414207116376
2021-01-31,1.655578011036736
2021-02-01,1.7270756462015382
