date,nav_usd,ret_net
2023-12-05,206222574.85968164,-0.0005050515430411403
2023-12-06,208899344.92544,0.012980005062877789
2023-12-07,206095540.3819268,-0.013421796724704562
2023-12-08,205301496.90363345,-0.0038527931114951787
2023-12-09,205301348.3798046,-7.234425032784788e-07
2023-12-10,205301195.2033114,-7.461056363001303e-07
2023-12-11,206284318.3770754,0.004788687044858049
2023-12-12,206430275.86671945,0.0007075549454865891
2023-12-13,206734076.6445032,0.001471687118123718
2023-12-14,206190713.6139617,-0.0026283186563182477
2023-12-15,206456903.56750825,0.0012909890502872477
2023-12-16,206456937.21242622,1.6296339521552243e-07
2023-12-17,206456970.8573497,1.6296339521552243e-07
2023-12-18,207270530.94091225,0.003940579386513733
2023-12-19,207446753.72578624,0.0008502066553987678
2023-12-20,207511794.85492656,0.0003135316796823918
2023-12-21,206946519.27565077,-0.002724064816031119
2023-12-22,206953276.82677522,3.265361093335477e-05
2023-12-23,206952485.7376813,-3.822549253822852e-06
2023-12-24,206951694.65161136,-3.822549253822852e-06
2023-12-25,206941071.64333072,-5.1330859109619577e-05
2023-12-26,205227612.4389172,-0.008279937814213717
2023-12-27,205932655.66355705,0.003435420878609628
2023-12-28,205904846.9612486,-0.00013503784632345995
2023-12-29,206713855.59963444,0.003929041255342978
2023-12-30,206713251.2346334,-2.9236792052959494e-06
2023-12-31,206712646.87139928,-2.9236792052959494e-06
2024-01-01,206671107.28555605,-0.00020095328695143356
2024-01-02,208394315.54133818,0.008337925307581439
2024-01-03,208062812.17716926,-0.0015907505121135175
2024-01-04,208760651.1592568,0.0033539822651886255
2024-01-05,209227415.88755852,0.002235884615753823
2024-01-06,209226501.30528778,-4.371235322516534e-06
2024-01-07,209225586.72701487,-4.371235322516534e-06
2024-01-08,211332650.6748221,0.010070775667396833
2024-01-09,210752632.88110468,-0.0027445725583116914
2024-01-10,212904718.96481392,0.01021143154554722
2024-01-11,212965655.6205994,0.00028621561833743755
2024-01-12,215275823.55858806,0.010847607945312346
2024-01-13,215274001.3443497,-8.464555881155536e-06
2024-01-14,215272179.14553556,-8.464555881155536e-06
2024-01-15,216608606.1105128,0.006208080255803849
2024-01-16,218526090.12743506,0.00885229839826395
2024-01-17,219228078.59105977,0.003212378271241403
2024-01-18,219958944.51722786,0.0033338153162917375
2024-01-19,220753681.47108826,0.0036131149638162193
2024-01-20,220753525.5346333,-7.063821264990759e-07
2024-01-21,220753369.59828854,-7.063821264990759e-07
2024-01-22,220867165.2196852,0.0005154875850986801
2024-01-23,220297046.98411655,-0.0025812720283775125
2024-01-24,218348237.33472595,-0.008846281310030915
2024-01-25,219264088.80619374,0.004194453239683379
2024-01-26,219395544.22391504,0.000599530084643861
2024-01-27,219395453.7658247,-4.1230595936600947e-07
2024-01-28,219395363.30777165,-4.1230595936600947e-07
2024-01-29,222528646.44856948,0.014281446488011683
2024-01-30,220467785.48738143,-0.009261104105373579
2024-01-31,220431381.3955257,-0.00016512204617681765
2024-02-01,223494154.48443303,0.013894451277840943
2024-02-02,225707716.96775615,0.009904341741865639
2024-02-03,225707757.14745662,1.7801651174373646e-07
2024-02-04,225707797.54045588,1.7896150216698622e-07
2024-02-05,225666827.87535205,-0.00018151639221259313
2024-02-06,225756269.0674908,0.0003963417795197717
2024-02-07,227304398.2380215,0.006857524607956118
2024-02-08,228378906.8984823,0.004727179362959999
2024-02-09,229307781.91616637,0.004067253978481486
2024-02-10,229307781.91616637,0.0
2024-02-11,229307781.91616637,0.0
2024-02-12,228695569.18369117,-0.0026698297256175186
2024-02-13,228985537.37924048,0.0012679222277210275
2024-02-14,230924887.02935702,0.008469310648666094
2024-02-15,232237876.68028027,0.005685786698063134
2024-02-16,231703253.61873943,-0.0023020493865299452
2024-02-17,231703253.61873943,0.0
2024-02-18,231703253.61873943,0.0
2024-02-19,231522730.10737726,-0.0007791151334421069
2024-02-20,230976398.01286638,-0.0023597341576677587
2024-02-21,230760209.53987104,-0.0009359764670990843
2024-02-22,232243401.2761891,0.00642741545119729
2024-02-23,234731248.51159582,0.01071224078589902
2024-02-24,234730504.4572751,-3.1698136718179406e-06
2024-02-25,234729760.40531287,-3.1698136718179406e-06
2024-02-26,234374818.25870195,-0.0015121309969303863
2024-02-27,233015733.4005087,-0.005798766558159487
2024-02-28,232757365.83766493,-0.0011087987882760415
2024-02-29,233225059.4930287,0.0020093613522417027
2024-03-01,233540006.84834668,0.001350401007518676
2024-03-03,233539692.48843983,-1.3460644756783272e-06
2024-03-04,234252566.15500948,0.003052473260428443
2024-03-05,235049739.03439394,0.00340304865158638
2024-03-06,235164514.50202772,0.0004883028932740376
2024-03-07,233976933.42705908,-0.0050500011767651365
2024-03-08,233750728.46881214,-0.0009667831565004976
2024-03-09,233750784.62940037,2.402584522030321e-07
2024-03-10,233750840.7900021,2.402584522030321e-07
2024-03-11,232264209.94766688,-0.006359895165771009
2024-03-12,232485932.86506525,0.0009546150801638595
2024-03-13,231747312.23235917,-0.003177055160299791
2024-03-14,232554905.3145879,0.003484800209544545
2024-03-15,232251328.01505688,-0.001305400542380937
2024-03-16,232251380.69687986,2.2683109485226467e-07
2024-03-17,232251433.3787148,2.2683109485226467e-07
2024-03-18,232746104.59103534,0.002129895196443817
2024-03-19,233218174.9064707,0.002028263013315883
2024-03-20,234117463.8908887,0.0038559987221348487
2024-03-21,234543240.26379648,0.0018186442217153446
2024-03-22,235285686.63583234,0.0031654989126986455
2024-03-23,235285761.76967785,3.193302855484031e-07
2024-03-24,235285836.90354732,3.193302855484031e-07
2024-03-25,234701991.103269,-0.002481431980615267
2024-03-26,234851304.7794633,0.00063618410518114
2024-03-27,236141870.05991787,0.005495244242592178
2024-03-28,234116427.78875196,-0.008577226354021644
2024-03-29,233839644.46182498,-0.001182246498211301
2024-03-30,233839644.46182498,0.0
2024-03-31,233839644.46182498,0.0
2024-04-01,234442600.7231309,0.002578503156270314
2024-04-02,235428722.4419303,0.0042062394622721325
2024-04-03,234407959.18373874,-0.00433576348545729
2024-04-04,232751066.3269391,-0.007068415520399968
2024-04-05,233244127.65729865,0.002118406322001173
2024-04-06,233244127.65729865,0.0
2024-04-07,233244127.65729865,0.0
2024-04-08,232461118.72789738,-0.003357035983138461
2024-04-09,233224361.52392644,0.003283313786863712
2024-04-10,232153048.97039393,-0.00459348477377057
2024-04-11,234005798.1393856,0.007980722963616831
2024-04-12,232021552.65465328,-0.008479471451175162
2024-04-13,232021408.3980479,-6.217379537695456e-07
2024-04-14,232021264.14153218,-6.217379537695456e-07
2024-04-15,232796876.83859816,0.0033428517853125493
2024-04-16,233640324.4118289,0.003623105192323858
2024-04-17,233765966.41853103,0.0005377582273883121
2024-04-18,233777781.18540174,5.054100497038351e-05
2024-04-19,231896233.85497272,-0.008048443786609419
2024-04-20,231895041.22862688,-5.142931068986712e-06
2024-04-21,231893848.6084146,-5.142931068986712e-06
2024-04-22,229266842.675193,-0.011328484774331519
2024-04-23,229302787.2775364,0.00015678064007844603
2024-04-24,230115000.25975993,0.003542098165777841
2024-04-25,228432922.2032524,-0.007309727982134079
2024-04-26,228098851.77644,-0.0014624443078967765
2024-04-27,228096348.3570839,-1.0975151065603944e-05
2024-04-28,228093844.96520317,-1.0975151065603944e-05
2024-04-29,227121942.3931103,-0.004260976758233595
2024-04-30,227271068.60209095,0.0006565909370506275
2024-05-01,223257711.67815974,-0.0176588993426078
2024-05-02,220922891.92599434,-0.010457957911577855
2024-05-03,219707955.68241385,-0.005499367824623157
2024-05-04,219705977.786202,-9.002387763800906e-06
2024-05-05,219703999.90779594,-9.002387763800906e-06
2024-05-06,217034349.07635057,-0.01215112529842761
2024-05-07,217434569.04968372,0.001844039780045787
2024-05-08,219382556.94049194,0.008958961306484511
2024-05-09,218394268.28366268,-0.004504864336581361
2024-05-10,216520553.78254503,-0.008579504012824923
2024-05-11,216519901.12259036,-3.014309465126667e-06
2024-05-12,216519248.464603,-3.014309465126667e-06
2024-05-13,214140107.88306922,-0.01098812506696249
2024-05-14,213246539.48220685,-0.00417282128834234
2024-05-15,212132336.95465493,-0.0052249500988732
2024-05-16,212980748.79917213,0.003999446084915159
2024-05-17,211323520.79025063,-0.0077811164542583525
2024-05-18,211300978.31104946,-0.0001066728356449989
2024-05-19,211297470.02471256,-1.6603265942847795e-05
2024-05-20,209183371.42227128,-0.01000531905182787
2024-05-21,209019970.92104483,-0.0007811352313305956
