feature_type,metal,bucket,feature_col,signal_col,entry_z,exit_z,max_hold,cost_bp,is_sharpe,is_maxdd,is_hitrate,is_num_trades,is_carry_frac,oos_sharpe,oos_maxdd,oos_hitrate,oos_num_trades,dd_ratio,validated
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,63,0.12,-0.2989374408696775,-11.372650951726358,0.4375,16,0.17288867647358983,0.5700042778710483,-0.876836304541216,1.0,2,0.07710043227943376,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,126,0.08,-0.23915281757418577,-10.492650951726358,0.4375,16,0.2168189464266334,0.5883989369139595,-0.8768363045412155,1.0,2,0.08356670860159982,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,126,0.12,-0.2989374408696775,-11.372650951726358,0.4375,16,0.17288867647358983,0.5700042778710483,-0.876836304541216,1.0,2,0.07710043227943376,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,252,0.08,-0.23915281757418577,-10.492650951726358,0.4375,16,0.2168189464266334,0.5883989369139595,-0.8768363045412155,1.0,2,0.08356670860159982,False
gc_cal,gc_cal,curvature,gc_cal_curvature,z_gc_cal_curvature,2.5,0.75,252,0.12,-0.2989374408696775,-11.372650951726358,0.4375,16,0.17288867647358983,0.5700042778710483,-0.876836304541216,1.0,2,0.07710043227943376,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,20,0.08,-0.06512387068962025,-14.964601101635566,0.6875,16,-0.029014394553757813,0.7583164923968189,-0.33062615393888106,1.0,3,0.02209388353844895,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,20,0.12,-0.10014044039858076,-15.284601101635563,0.5,16,-0.01884855695374261,0.6113674532749153,-0.3306261539388813,0.6666666666666666,3,0.021631323692412354,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,63,0.08,-0.04158695974053688,-14.964601101635566,0.7857142857142857,14,-0.35713744869272,0.2530462840257348,-1.3591439101736684,1.0,2,0.09082393182034902,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,63,0.12,-0.07229912955313972,-15.284601101635563,0.6428571428571429,14,-0.20521444440583653,0.19730395979533122,-1.3591439101736682,0.5,2,0.08892243252774389,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,126,0.08,-0.009965805389119323,-14.964601101635566,0.7857142857142857,14,-1.7994835944174465,0.2530462840257348,-1.3591439101736684,1.0,2,0.09082393182034902,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,126,0.12,-0.04063403828088209,-15.284601101635563,0.6428571428571429,14,-0.440984125635382,0.19730395979533122,-1.3591439101736682,0.5,2,0.08892243252774389,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,252,0.08,-0.009965805389119323,-14.964601101635566,0.7857142857142857,14,-1.7994835944174465,0.2530462840257348,-1.3591439101736684,1.0,2,0.09082393182034902,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.3,252,0.12,-0.04063403828088209,-15.284601101635563,0.6428571428571429,14,-0.440984125635382,0.19730395979533122,-1.3591439101736682,0.5,2,0.08892243252774389,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,20,0.08,-0.06557813095800995,-14.980982840107497,0.6875,16,-0.03028582446219343,0.7583164923968189,-0.33062615393888106,1.0,3,0.022069723827045556,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,20,0.12,-0.1005967190189309,-15.300982840107494,0.5,16,-0.01972188339908625,0.6113674532749153,-0.3306261539388813,0.6666666666666666,3,0.021608164481580358,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,63,0.08,-0.042040316569310336,-14.980982840107497,0.7857142857142857,14,-0.3556092747279385,0.6983432072117102,-0.5809084993307427,1.0,3,0.03877639441489237,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,63,0.12,-0.07275422195801502,-15.300982840107494,0.6428571428571429,14,-0.2052717420280552,0.5874468296965724,-0.580908499330743,1.0,3,0.03796543695271943,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,126,0.08,-0.010415600668522498,-14.980982840107497,0.7857142857142857,14,-1.7311447095604273,0.6983432072117102,-0.5809084993307427,1.0,3,0.03877639441489237,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,126,0.12,-0.04108567092653663,-15.300982840107496,0.6428571428571429,14,-0.4385103561735818,0.5874468296965724,-0.580908499330743,1.0,3,0.03796543695271943,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,252,0.08,-0.010415600668522498,-14.980982840107497,0.7857142857142857,14,-1.7311447095604273,0.6983432072117102,-0.5809084993307427,1.0,3,0.03877639441489237,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.5,252,0.12,-0.04108567092653663,-15.300982840107496,0.6428571428571429,14,-0.4385103561735818,0.5874468296965724,-0.580908499330743,1.0,3,0.03796543695271943,False
xm_cal,gc_si,ratio,gc_si_cal_ratio,z_gc_si_cal_ratio,1.5,0.75,20,0.08,-0.0684685444678085,-15.007213446240677,0.625,16,-0.01724850329992659,0.6121577342318473,-0.3306261539388814,1.0,3,0.02203114889538028,False
