metal,mode,entry_usd_long,entry_usd_short,exit_usd,is_n_trades,is_n_long,is_n_short,is_win_rate,is_win_rate_long,is_win_rate_short,is_ann_ret_bp,is_ann_vol_bp,is_sharpe,is_max_dd_bp,is_avg_pnl_bp,is_avg_carry_bp,is_avg_basis_bp,oos_n_trades,oos_n_long,oos_n_short,oos_win_rate,oos_win_rate_long,oos_win_rate_short,oos_ann_ret_bp,oos_ann_vol_bp,oos_sharpe,oos_max_dd_bp,oos_avg_pnl_bp,oos_avg_carry_bp,oos_avg_basis_bp
xag,LONG,0.064,0.3581630515441684,0.010666666666666666,5,5,0,1.0,1.0,,490.80445920551006,673.5333354344898,0.728701065536566,-402.4383917788807,65.77999880492368,2.10740811965812,63.91259068526557,8,8,0,0.875,0.875,,548.6273802234595,199.8872399785467,2.7446843544507495,-44.183586491269395,21.967273399194347,0.6009810134310134,21.606292385763332
xag,SHORT,0.064,0.3581630515441684,0.010666666666666666,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.08533333333333333,0.3581630515441684,0.0,7,4,3,1.0,1.0,1.0,1362.120470528802,747.4919873517314,1.8222542764031768,-402.4383917788807,106.69652797834338,4.723075427160831,102.21345255118256,6,3,3,0.6666666666666666,0.3333333333333333,1.0,679.4890549984085,257.30648963312746,2.640776981440449,-58.337043627196124,38.65039911497059,-4.4292199328449335,43.319619047815515
xag,LONG,0.08533333333333333,0.3581630515441684,0.0,4,4,0,1.0,1.0,,442.8025937704653,672.8224509104588,0.6581269593059326,-402.4383917788807,76.41524891977022,2.5686008089133088,74.0866481108569,3,3,0,0.3333333333333333,0.3333333333333333,,141.86232622269029,132.39675917354984,1.071493948252409,-61.65845037193665,-4.9092589305830385,-1.8719477004477005,-2.7973112301353393
xag,SHORT,0.08533333333333333,0.3581630515441684,0.0,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.08533333333333333,0.3581630515441684,0.005333333333333333,7,4,3,1.0,1.0,1.0,1362.120470528802,747.4919873517314,1.8222542764031768,-402.4383917788807,106.69652797834338,4.723075427160831,102.21345255118256,8,5,3,0.875,0.8,1.0,762.906103174523,252.71838246716695,3.01879940717664,-49.288525774239794,33.698187681469925,-3.306156761294262,37.24434444276419
xag,LONG,0.08533333333333333,0.3581630515441684,0.005333333333333333,4,4,0,1.0,1.0,,442.8025937704653,672.8224509104588,0.6581269593059326,-402.4383917788807,76.41524891977022,2.5686008089133088,74.0866481108569,5,5,0,0.8,0.8,,225.2793743988047,124.69081707638396,1.8067038109213889,-46.154139981498034,4.5910659940373515,-1.097955518925519,5.92902151296287
xag,SHORT,0.08533333333333333,0.3581630515441684,0.005333333333333333,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
xag,BOTH,0.08533333333333333,0.3581630515441684,0.010666666666666666,7,4,3,1.0,1.0,1.0,1362.120470528802,747.4919873517314,1.8222542764031768,-402.4383917788807,106.69652797834338,4.723075427160831,102.21345255118256,8,5,3,0.875,0.8,1.0,762.7049580333895,252.695486010593,3.018276939072101,-49.288525774239794,33.68631453077803,-3.1652058379120884,37.09152036869011
xag,LONG,0.08533333333333333,0.3581630515441684,0.010666666666666666,4,4,0,1.0,1.0,,442.8025937704653,672.8224509104588,0.6581269593059326,-402.4383917788807,76.41524891977022,2.5686008089133088,74.0866481108569,5,5,0,0.8,0.8,,225.07822925767132,124.64093284768103,1.805813099399143,-46.009490001848064,4.5720689529303105,-0.8724340415140416,5.684502994444352
xag,SHORT,0.08533333333333333,0.3581630515441684,0.010666666666666666,3,0,3,1.0,,1.0,965.6237749424297,331.72407584575416,2.9109246064835754,-46.536498792270514,154.88496261863662,7.6058832616658725,147.51907935697076,3,0,3,1.0,,1.0,537.6267287757181,222.00938462188492,2.421639651365984,-46.98987120048847,82.21005716052422,-6.986492165242165,89.43654932576639
