date,z_gc_comex_carry_2m,z_gc_comex_carry_4m,z_si_comex_carry_2m,z_gc_cal_curvature,z_gc_si_cal_ratio,z_gc_comex_lbma_basis,z_si_comex_lbma_basis,z_gc_si_comex_basis_spread,z_gc_comex_curve_slope,z_comex_lbma_slope_basis,rate_regime
2018-07-07,,,,,,-0.12643831050553236,2.759428702221522,-2.4934723201320783,,,mid
2018-07-08,,,,,,-0.1260980030228691,2.69774122165204,-2.4465276125373467,,,mid
2018-07-09,,,,,,0.11182954643996205,2.7225307892643427,-2.3905869765947485,,,mid
2018-07-10,,,,,,0.1662223449264936,2.7191509237016143,-2.3798414593036097,,,mid
2018-07-11,,,,,,-0.15800689844764923,2.7202025190834176,-2.5063181698513177,,,mid
2018-07-12,,,,,,-0.7679052176400878,2.6926818725748642,-2.6965728024713544,,,mid
2018-07-13,,,,,,-1.1599595016275737,2.607445776382685,-2.7472463453284988,,,mid
2018-07-14,,,,,,-1.1529694731299454,2.5561183152367475,-2.68813565490827,,,mid
2018-07-15,,,,,,-1.1461045157978096,2.507709530459538,-2.6326858659222285,,,mid
2018-07-16,,,,,,-1.3514828561986711,2.4266113918146006,-2.6179253223101298,,,mid
2018-07-17,,,,,,-1.4840451873607712,2.3217289575646807,-2.5566256904057822,,,mid
2018-07-18,,,,,,-1.4209976123553587,2.1285216747787126,-2.354515188047434,,,mid
2018-07-19,,,,,,-1.9962190556503634,1.874589489192287,-2.3070113335817326,,,mid
2018-07-20,,,,,,-2.65758270226535,1.5958646531752183,-2.2709798115974946,,,mid
2018-07-21,,,,,,-2.6053916353145583,1.5818696989535272,-2.236696164917142,,,mid
2018-07-22,,,,,,-2.556161482969573,1.5682370684080518,-2.203921076654054,,,mid
2018-07-23,,,,,,-3.190969883612463,1.3380156671814496,-2.2192751612874657,,,mid
2018-07-24,,,,,,-1.9652220977217725,1.1195809076579153,-1.619738306079156,,,mid
2018-07-25,,,,,,-1.7406627888668196,1.1584449476700451,-1.5756137389152223,,,mid
2018-07-26,,,,,,-1.2942394872577856,1.1786732581429582,-1.4406160445483294,,,mid
2018-07-27,,,,,,-1.523533624685071,1.1138487699574382,-1.4605004284460295,,,mid
2018-07-28,,,,,,-1.511433946938115,1.10786586250659,-1.4495527868132074,,,mid
2018-07-29,,,,,,-1.4996184238286747,1.101978489818316,-1.4388480291625527,,,mid
2018-07-30,,,,,,-0.7303065455145078,1.0739692734763173,-1.1553840511911604,,,mid
2018-07-31,,,,,,-1.6510991886798698,1.634158579518658,-1.9343632116001745,,,mid
2018-08-01,,,,,,-0.5170713428562317,1.910674715863745,-1.7887598832178593,,,mid
2018-08-02,,,,,,-0.4834672225465457,1.1970295985378292,-1.1734118101054896,,,mid
2018-08-03,,,,,,-0.7322893437784023,1.230160056437121,-1.283024080381085,,,mid
2018-08-04,,,,,,-0.7296786637123305,1.2229926326361,-1.2751556545798015,,,mid
2018-08-05,,,,,,-0.7270957466811077,1.2159492296531913,-1.2674304462863943,,,mid
2018-08-06,,,,,,-0.5556926429356488,1.1086399410784573,-1.1198213420680563,,,mid
2018-08-07,,,,,,-0.937877894139964,1.1696796443784574,-1.295665910947887,,,mid
2018-08-08,,,,,,-1.180802329011291,1.0543198275489445,-1.2765630128355194,,,mid
2018-08-09,,,,,,-1.1096220277068876,1.154436802427474,-1.3362386681864167,,,mid
2018-08-10,,,,,,-1.2008294184481052,1.1951224358544168,-1.398692918420219,,,mid
2018-08-11,,,,,,-1.1942441855107466,1.188605032931464,-1.3894171476821113,,,mid
2018-08-12,,,,,,-1.1877662701664347,1.182193256786154,-1.3803237481432553,,,mid
2018-08-13,,,,,,-1.238030350326434,1.2264761148026015,-1.4321575592962466,,,mid
2018-08-14,,,,,,-1.7300458947956179,1.1826595138234675,-1.5541196636676418,,,mid
2018-08-15,,,,,,-1.900423236881176,1.3218473201369154,-1.7240312413040717,,,mid
2018-08-16,,,,,,-2.1638480521685097,1.256019690411339,-1.7541721134922017,,,mid
2018-08-17,,,,,,-2.1391506309411716,1.066768156041147,-1.5891409716353346,,,mid
2018-08-18,,,,,,-2.113392450593435,1.0618000753326837,-1.5769731509626015,,,mid
2018-08-19,,,,,,-2.088543661000083,1.0569008641446298,-1.5650809404115291,,,mid
2018-08-20,,,,,,-2.262602465227695,0.8663255068908734,-1.4685515197173764,,,mid
2018-08-21,,,,,,-2.0309890812080726,1.0598576151291574,-1.55029699213288,,,mid
2018-08-22,,,,,,-1.7884513092381318,1.5737807977894733,-1.8865278565196952,,,mid
2018-08-23,,,,,,-1.4281040738452921,1.6172712435941579,-1.7981999988030537,,,mid
2018-08-24,,,,,,-1.6579968751412033,2.0465910323898413,-2.2202937845202957,,,mid
2018-08-25,,,,,,-1.6449024519555526,2.0243080938592053,-2.1927248865011375,,,mid
2018-08-26,,,,,,-1.6321137895162923,2.002738111776148,-2.1661588581011952,,,mid
2018-08-27,,,,,,-1.3986885246759178,2.487142788422319,-2.478843330196815,,,mid
2018-08-28,,,,,,-1.126719699695952,3.399984580977968,-3.135653137417201,,,mid
2018-08-29,,,,,,-0.7447029165047192,2.4751575057781925,-2.260593781319065,,,mid
2018-08-30,,,,,,-0.7733438352556917,2.8835770943346937,-2.608145541772616,,,mid
2018-08-31,,,,,,-0.5369993622626147,2.980981608109554,-2.622179534480211,,,mid
2018-09-01,,,,,,-0.5355788519733247,2.921707067236634,-2.580399216428971,,,mid
2018-09-02,,,,,,-0.5341695658432639,2.865835034958517,-2.5405555620936173,,,mid
2018-09-03,,,,,,-0.5327713567329391,2.8302056760614343,-2.516898017727252,,,mid
2018-09-04,,,,,,-0.3997819142792268,1.8416944563751148,-1.6550646869471326,,,mid
2018-09-05,,,,,,-0.16750582919701676,1.6602621864342773,-1.436692814395639,,,mid
2018-09-06,,,,,,-0.09488136217058246,1.6131339029023657,-1.3777450507453814,,,mid
2018-09-07,,,,,,0.04944192311494329,1.5898760460400228,-1.3181035263132441,,,mid
2018-09-08,,,,,,0.04934309590102665,1.5787129125254806,-1.3109097281224438,,,mid
2018-09-09,,,,,,0.04924485894652704,1.5677819147708714,-1.3038325859081332,,,mid
2018-09-10,0.5859405342582628,0.7583420473664293,1.8232080253509206,0.19117042834903805,-1.0910251427029112,0.05599029609439871,1.819115596480171,-1.516387857336155,0.19117042834903805,0.9512077099309073,mid
2018-09-11,0.7772614388703868,0.8506116971995594,1.9541924475519385,-0.11536537720825402,-1.0998918338226085,0.23489520857093968,1.971853044713128,-1.5975078104739833,-0.11536537720825402,0.886687924882149,mid
2018-09-12,0.6910718751712244,0.8707461912833471,1.9971987836986986,0.17122671408254703,-1.1475784902366348,0.13374222476091008,2.0134183507867767,-1.6658255422653423,0.17122671408254703,1.0326351731907408,mid
2018-09-13,0.7149659482023368,0.8977232004615228,2.1318933525908865,0.17109936068644854,-1.2050258019908227,0.16407897474155167,2.151994634366169,-1.7797399464081758,0.17109936068644854,0.8667689316317453,mid
