ticker,display_name,final_score,date,close_price,roc_component,ma_component,rsi_component,price_ma_component,roc_1d,roc_5d,roc_20d,rsi,ma5_slope,ma20_slope,price_vs_ma20
BTC-USD,BTC,1.9,2026-01-18,95441.203125,0.5849325723963803,0.5106310209975327,0.4115975020584653,0.21365143738874817,0.3588659625279004,0.12528288228982293,9.528620235004011,63.719916735282176,0.02496134021396548,0.4524670003770697,3.55090467438501
XLK,XLK (Tech),0.5,2026-01-16,145.6199951171875,0.24167406465582308,0.4622221546751978,-0.10333153138168107,-0.0038713301055839046,0.10998789765974916,-0.362640302039468,4.6279294849333885,46.55561562061063,-0.07264436923317864,0.22210727600852231,0.2051746813490787
XLV,XLV (Health),0.1,2026-01-16,155.74000549316406,-0.2611095274635287,-0.011322036212395583,-0.034831170434309514,-0.10876847833292946,-0.7772688382507184,-0.998024340344235,1.6992053841135013,48.838960985523016,-0.19968102193459136,0.08335400079946066,-0.3066296450683498
XLF,XLF (Financials),-0.7,2026-01-16,54.439998626708984,-0.15632262728504998,-0.04608776995309021,-0.3160715964376169,-0.1305802836865756,0.128746912266662,-2.3147334041330567,0.0004905035362151724,39.4642801187461,-0.4711987848815987,2.419728187715433e-05,-1.3365126894784602
XLY,XLY (Disc),0.5,2026-01-16,122.30000305175781,0.036670079588928296,0.44944100975540996,0.0281320613465752,-0.04145823782588022,-0.32599340377579805,-1.696005584954572,1.6780445316444021,50.93773537821917,-0.34137433429647435,0.08287708924452676,0.3525487557098712
XLC,XLC (Comm),-1.2,2026-01-16,115.16999816894531,-0.5128038672195557,-0.5007686335589911,-0.6051864359825075,-0.2125003863199973,-0.8949323842360335,-2.3238108795382635,-0.2306802864287383,29.82711880058308,-0.4682169295507139,-0.011363183495790845,-1.6971980199068843
XLI,XLI (Ind),2.5,2026-01-16,166.89999389648438,1.0375694797822954,0.5643231746623725,0.7278401992733549,0.37477410207734346,0.6755912205540253,3.0692283366270128,9.080720641586183,74.2613399757785,0.6067192356880616,0.43724319357327035,4.588986081521968
XLP,XLP (Stap),2.5,2026-01-16,82.11000061035156,0.6231883252704276,0.5604958174235164,0.7293224851929575,0.34327469790639153,-0.31565148423071726,3.608833577730678,3.9155646124114654,74.31074950643192,0.7059289531525272,0.19652845208610417,4.109164547355149
XLE,XLE (Energy),2.2,2026-01-16,47.689998626708984,0.5689976913993869,0.5375038318969719,0.5771776599019869,0.3147828852152324,0.16802775747082932,2.1855592410166205,7.406267300870099,69.23925533006623,0.4327904177032024,0.3617603802732645,4.547335389327308
XLU,XLU (Util),1.1,2026-01-16,43.38999938964844,0.24047108202563947,0.4938579848620538,0.19762417938780352,0.17003274858625075,-0.5044742435772954,2.070103747027143,2.2335583094042346,56.58747264626012,0.40983656797053947,0.11098061955422348,1.482605160660243
